index,username,name,category,followers,followings,posts,tier,avatar,avg_engagement_rate
0,sarahh.hany,sarahh.hany,lifestyle,689000.0,526.0,975,Macro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/0.jpg ,4.389796806966619
1,fatimabadawyy,fatimabadawyy,lifestyle,175000.0,480.0,471,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/1.jpg ,5.432171428571428
2,lailaaezzat,lailaaezzat,lifestyle,165000.0,946.0,355,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/2.jpg ,11.144121212121211
3,habiba.gadalla,habiba.gadalla,lifestyle,20300.0,1150.0,"2,937",Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/3.jpg ,5.444088669950739
4,withhags,withhags,skincare,44200.0,918.0,151,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/4.jpg ,3.835067873303169
5,youssraelgamal,youssraelgamal,skincare,202000.0,1380.0,342,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/5.jpg ,2.678292079207921
6,self_theblog,self_theblog,skincare,39200.0,715.0,90,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/6.jpg ,5.640051020408163
7,dressupwithjay,dressupwithjay,fashion,79600.0,992.0,866,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/7.jpg ,4.113756281407035
8,jehadkhaled_,jehadkhaled_,fashion,16200.0,4276.0,"1,030",Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/8.jpg ,8.682716049382716
9,manarhosem,manarhosem,fashion,13900.0,116.0,186,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/9.jpg ,14.739928057553955
10,100looks_,100looks_,fashion,89800.0,225.0,866,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/10.jpg ,2.548830734966593
11,ayaabdelhamid,ayaabdelhamid,makeup,432000.0,499.0,"1,160",Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/11.jpg ,3.097800925925926
13,makeupbylinaahmed,makeupbylinaahmed,makeup,4144.0,583.0,182,Nano,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/12.jpg ,4.055260617760618
14,dianafaaberg,dianafaaberg,fitness,40500.0,1636.0,"1,366",Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/13.jpg ,1.4479012345679014
15,sarah_ihab_fitness,sarah_ihab_fitness,fitness,37600.0,662.0,210,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/14.jpg ,4.306515957446809
16,farah_elwardany,farah_elwardany,fitness,1942.0,852.0,52,Nano,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/15.jpg ,8.331616889804327
17,yomnasfood,yomnasfood,food,195000.0,627.0,148,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/16.jpg ,1.6497455470737914
18,samarasfood,samarasfood,food,39300.0,419.0,200,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/17.jpg ,4.681806615776081
19,malaksfoodjourney,malaksfoodjourney,food,78600.0,779.0,392,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/18.jpg ,8.372811534500514
20,saraahmedxxo,saraahmedxxo,art,971.0,1384.0,267,Nano,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/19.jpg ,1.2874369747899164
21,salmaelkashef,salmaelkashef,art,119000.0,2009.0,"2,149",Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/20.jpg ,1.1530656934306565
22,laylaghaleb,laylaghaleb,art,274000.0,1892.0,"1,362",Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/21.jpg ,13.027516778523491
23,samaawithcup,samaawithcup,art,14900.0,209.0,252,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/22.jpg ,7.9625
24,sarahtaibah,sarahtaibah,art,46800.0,1092.0,647,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/avatars/23.jpg ,11.932358974358976
