username,post,likes,type,captions,date,time,engagement_rate,avg_engagement_rate
sarahh.hany,https://www.instagram.com/p/CcTVHc6gOro/,34874,clip,Negative Self Talk !,2022-04-13,18:55:14,5.061538461538461,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcS5ECgABzx/,32651,clip,Styling my New shirt from Stradivarius 💭,2022-04-13,14:51:13,4.7388969521045,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcQjcnYsAWF/,28240,clip,Outfit ideas 🖤,2022-04-12,17:04:57,4.098693759071118,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcQSpf5gBJv/,21630,clip,ازاي نحاول نتخلص من الشعور السئ او ال bad mood,2022-04-12,14:46:09,3.1393323657474603,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcOASy6g3Tq/,27116,clip,Enjoy your own company!,2022-04-11,17:17:21,3.9355587808417996,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcNxRwfNNxU/,52240,carousel,Today’s photo dump at ikea also a very bad hair day ⏺🤍💭,2022-04-11,15:05:14,7.58200290275762,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcLhz8tAsld/,22329,clip,Can you tell how much I’m obsessed with oversized tshirts ?,2022-04-10,18:12:39,3.2407837445573295,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcLEzaqgV-f/,24239,clip,"How to change your self image part 1
الثقة بالنفس الجزء الاول ✨",2022-04-10,14:05:11,3.5179970972423806,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcI0-94NOlX/,52132,photo,🤍,2022-04-09,17:01:25,7.56632801161103,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcI0erytCwu/,6140,photo,🤍,2022-04-09,16:57:00,0.8911465892597968,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcGPlI3tRoe/,53115,photo,Ramadan fit 🌙,2022-04-08,16:56:05,7.7089985486211905,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcGI7qktKA6/,8083,photo,🤍,2022-04-08,15:58:00,1.1731494920174164,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcEJwXjNZr8/,66684,carousel,Today’s photo dump 🖤 ☕️ 🌙✨,2022-04-07,21:26:43,9.678374455732946,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcD6LA1g4FK/,19311,clip,"Basic ✔️
Easy ✔️
Hijab friendly ✔️",2022-04-07,19:11:12,2.8027576197387516,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcDWlRjgeLB/,22414,clip,How i deal with bullying ( my personal experience) ازاي بتعامل مع التنمر !,2022-04-07,14:51:39,3.2531204644412193,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcBSSkwAMMG/,37398,clip,"What a journey 🤍
Loving my new smile ! And I literally can’t stop smiling ever since i got it 😬 Thanks to @dr.ahmed.alkaffas and @capitaldentalcliniceg",2022-04-06,18:44:34,5.427866473149492,4.389796806966619
sarahh.hany,https://www.instagram.com/p/CcArapdga3q/,32824,clip,"Overthinking ✔️
There’s something in the sound but you’re gonna ignore it. Thank you😂",2022-04-06,13:09:32,4.7640058055152394,4.389796806966619
sarahh.hany,https://www.instagram.com/p/Cb_Ek--tcfk/,9378,photo,🤍 i didt like the coffee today but it fits the aesthetics,2022-04-05,22:05:16,1.3611030478955006,4.389796806966619
sarahh.hany,https://www.instagram.com/p/Cb_DNu9thek/,46368,carousel,If you remember this tshirt from last year 😬🖤,2022-04-05,21:53:21,6.729753265602323,4.389796806966619
sarahh.hany,https://www.instagram.com/p/Cb-MjN8tjoQ/,7748,photo,✨ Quote of the day ✨,2022-04-05,13:55:41,1.1245283018867924,4.389796806966619
fatimabadawyy,https://www.instagram.com/p/Ccdll7jFG3N/,6340,clip,how to style jeans jumpsuit 💕,2022-04-17,18:33:31,3.6228571428571428,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/Cca2z5wlpqM/,7663,clip,💚,2022-04-16,17:04:42,4.378857142857143,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CcYqVbkMx_b/,7730,carousel,"🖤🤍
set from @lizo.eg",2022-04-15,20:36:12,4.417142857142857,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CcWLtUkMfCn/,11920,carousel,ramadan mornings ba2a🌙,2022-04-14,21:30:06,6.811428571428571,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CcQkrp9FZip/,13543,clip,spring time has arrived 🐅🖤🤎,2022-04-12,17:19:33,7.738857142857143,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CcJi67kN7-q/,14304,carousel,Ramadan nights tany✨,2022-04-09,23:42:49,8.173714285714286,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CcI3atssNJX/,7730,carousel,"colorful Saturday🌈
got this set from @cobramodafrance",2022-04-09,17:22:40,4.417142857142857,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CcEO2cOMm9W/,20859,photo,Ramadan nights✨,2022-04-07,22:11:14,11.919428571428572,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CbvKBaPlwB5/,6886,clip,الحاجات الي عاجبتني في Defacto💗,2022-03-30,18:07:01,3.9348571428571426,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CbsyxCwF2XH/,7730,clip,SHOPPING HAUL 🛍,2022-03-29,19:50:39,4.417142857142857,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CbsazYZN5nM/,13165,carousel,☀️🖤,2022-03-29,16:13:54,7.522857142857142,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CbsHph4lxPm/,873,clip,"Let me take you all with me through glade’s experience at Cfc mall
I had so much fun there
You haveee to try their new scents which is 3 times more intense and long lasting (Rose💗-Lavender💜- Clean Linen 🤍- Aqua💙)

#gladeyourfragrance @glade_egypt",2022-03-29,13:28:06,0.49885714285714283,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/Cbp7HyJMucD/,10223,photo,<3,2022-03-28,16:58:35,5.841714285714286,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CbnzGspM5RR/,16288,carousel,❤️,2022-03-27,21:10:03,9.307428571428572,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CblGdKpF4LR/,3628,clip,"أنا دايماً بدور على كل حاجة صحية ومفيدة لصحة عيلتي
وعلشان كدة أخترت تيفال unlimited اللى مصنوع من التايتينيم المقاومة للخدش وبتخلى الأكل ميلزقش والأهم إنها آمنة وصحية

وتيفال قررت تختارحد يكسب وتفرحه وتبعتله طاسة أو حلة هدية ،، بس هاتعملوا نفس الوصفة وتعملوا tag لتيفال فى الأستورى 🤩🤩

@tefalegypt

#الطبخ_محتاج_سوبر_هيرو",2022-03-26,20:04:33,2.073142857142857,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CbiWgJvsyj_/,7327,photo,💗,2022-03-25,18:23:55,4.186857142857143,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/Cbfnvi7lYP6/,7730,clip,my favorite colors!🤎,2022-03-24,16:57:59,4.417142857142857,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/Cbc6oKgsJjC/,12760,carousel,"as u know, on wednesdays we where piiinnkkk🙇🏻‍♀️💗",2022-03-23,15:44:08,7.291428571428571,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CbX3ynvFvQA/,6040,clip,"a newww makeup tutorial 💗
ايه رأيكووووا🙇🏻‍♀️",2022-03-21,16:44:49,3.451428571428571,5.432171428571428
fatimabadawyy,https://www.instagram.com/p/CbXkeMUMQoP/,7387,carousel,"hellooooo, I hope your day is amazing as you are💗💗",2022-03-21,13:54:20,4.2211428571428575,5.432171428571428
lailaaezzat,https://www.instagram.com/p/CcJEkS8qom6/,23699,clip,#LailaTries ep.1 French braid! Let me know what you think☺️ and let me know what you want me to learn & teach you next 💗,2022-04-09,19:18:24,14.363030303030303,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CcBNnTyquts/,33257,photo,Here’s a pic from November I forgot to post🤍,2022-04-06,18:02:43,20.155757575757576,11.144121212121211
lailaaezzat,https://www.instagram.com/p/Cb000eYKghQ/,17078,clip,"its ALWAYS okay with Ultra3in1💙

Whatever the mood is, however the day goes I get no odor, no germs, no leakage,always my go to!
#alwaysokay",2022-04-01,22:36:25,10.35030303030303,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CbkxRqBqpbd/,21943,carousel,❤️‍🩹🧸,2022-03-26,16:56:21,13.298787878787879,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CbSWRgqKEdo/,21373,carousel,Saturday mornings ft. Luna 🦋,2022-03-19,13:14:04,12.953333333333333,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CbIXJxrqgnA/,8058,clip,Mother’s day is around the corner & @rushbrushegypt have you covered! Don’t miss out on their offers which are up to 42% on their whole website and spoil your mom or any loved one☺️💗,2022-03-15,16:11:07,4.883636363636364,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CbDNt3yqOkj/,7788,clip,Full face of makeup using products I got from @feel22egypt 💗You can use my promocode ‘LAILA10’ for a discount on your next purchase💗 (Also let me know what you think🥰),2022-03-13,16:14:23,4.72,11.144121212121211
lailaaezzat,https://www.instagram.com/p/Ca7Jm0wqNoA/,15393,carousel,Hi there🤍🕺🏽,2022-03-10,13:00:51,9.329090909090908,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CYbi60yK5uU/,15543,photo,blues 🪴,2022-01-07,13:23:33,9.42,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CYR2UacKuEA/,15531,clip,"2021 RECAP ✨

I’d just like to say that this is a highlight reel of some of the best moments this year. I just don’t happen to film the sad moments ! I don’t want to set unrealistic expectations. This year has been a rollecoaster with a lot of highs & lows. I dealt with loss & i also experienced a lot of new things for the first time and reached a lot of milestones in my career that i’m proud of. I don’t like long cheesy captions so i just want to wish you all a happy new year and hope your 2022 is filled with happy moments & health 🤍",2022-01-03,19:06:31,9.412727272727272,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CX6FN8lqikU/,14434,carousel,dressed for the occasion 🌅,2021-12-25,13:29:05,8.747878787878788,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CX3fOpgqphD/,23496,clip,"✨Get ready with me✨

Happy Friday!!🌞",2021-12-24,13:20:06,14.24,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CXWVA3RKqui/,25290,carousel,when you first see me VS when you get to know me 🌾,2021-12-11,16:14:27,15.327272727272728,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CXQ1K3hqWt_/,23144,photo,Touchdown Siwa 📍filter used @yazis.world,2021-12-09,12:59:59,14.026666666666667,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CXBYkAtqJRk/,14800,clip,Had to make @ojmakeupartist bless my face before i left Dubai ☺️💗,2021-12-03,13:12:13,8.969696969696969,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CW8RMSpqiV9/,14991,photo,what shows are you watching these days? i need recommendations 👼🏽,2021-12-01,13:20:48,9.085454545454546,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CWyRFBQqc-w/,17078,clip,Cooking with Laila 👩🏽‍🍳 SWEET AND SOUR CHICKEN 🐔,2021-11-27,16:09:49,10.35030303030303,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CWtbWKaKMSD/,20703,photo,How do we feel about denim on denim?🧸,2021-11-25,19:00:55,12.547272727272727,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CVtDgauqYnN/,17490,clip,I love halloween!! What do you think of my costume? 🤡💀🎃 #joker #halloween,2021-10-31,19:02:41,10.6,11.144121212121211
lailaaezzat,https://www.instagram.com/p/CU0Hh_aK4OP/,16667,photo,not done with the dubai spam yet☺️,2021-10-09,16:19:40,10.10121212121212,11.144121212121211
habiba.gadalla,https://www.instagram.com/p/Ccd65cjIG5n/,1015,clip,"2:18 day.5
I ranted for a little bit to celebrate the 2 minutes",2022-04-17,21:37:21,5.0,5.444088669950739
habiba.gadalla,https://www.instagram.com/p/Ccdj5tRIFU8/,480,clip,Adulthood isn’t as bad as I thought,2022-04-17,18:16:45,2.3645320197044337,5.444088669950739
habiba.gadalla,https://www.instagram.com/p/CcbDxbzBzZs/,1015,clip,1:42 day.4,2022-04-16,18:57:07,5.0,5.444088669950739
habiba.gadalla,https://www.instagram.com/p/Cca77EiLYOi/,996,clip,"Obsessed with these pants
* from @bershka",2022-04-16,17:49:13,4.906403940886699,5.444088669950739
habiba.gadalla,https://www.instagram.com/p/CcYeOuJBO1C/,1015,clip,1:38 day.3,2022-04-15,18:50:34,5.0,5.444088669950739
habiba.gadalla,https://www.instagram.com/p/CcYbHHYuu-M/,580,clip,empty caption,2022-04-15,18:23:39,2.857142857142857,5.444088669950739
