level_0,index,username,name,category,followers,followings,posts,tier,avatar,avg_engagement_rate,total likes
0,0,sarahh.hany,Sarah hany - سارة هاني,lifestyle,689000,526,975,Macro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/0.jpg,4.389796806966619,604914
1,1,fatimabadawyy,Fatima Badawy | فاتيما بدوي,lifestyle,175000,480,471,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/1.jpg,5.432171428571428,190126
2,2,lailaaezzat,Laïla🖤👽,lifestyle,165000,946,355,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/2.jpg,11.144121212121211,367756
3,3,habiba.gadalla,Habiba Gadalla | حبيبة,lifestyle,20300,1150,2937,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/3.jpg,5.444088669950739,22103
4,4,withhags,Hagar| Skincare Explained 👩🏻‍🔬,skincare,44200,918,151,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/4.jpg,3.835067873303169,33902
5,5,youssraelgamal,Youssra El Gamal يسرا الجمل,skincare,202000,1380,342,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/5.jpg,2.678292079207921,108203
6,6,self_theblog,self,skincare,39200,715,90,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/6.jpg,5.640051020408163,44218
7,7,dressupwithjay,Jessica Toutounji,fashion,79600,992,866,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/7.jpg,4.113756281407035,65491
8,8,jehadkhaled_,J E H A D • چهـــاد,fashion,16200,4276,1030,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/8.jpg,8.682716049382716,28132
9,9,manarhosem,Manar Hosem,fashion,13900,116,186,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/9.jpg,14.739928057553955,40977
10,10,100looks_,Aya Elshehaby • Modestly Chic,fashion,89800,225,866,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/10.jpg,2.548830734966593,45777
11,11,ayaabdelhamid,Aya Abdelhamid أيه عبد الحميد,makeup,432000,499,1160,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/11.jpg,3.097800925925926,267650
13,14,dianafaaberg,Diana Faaberg,fitness,40500,1636,1366,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/12.jpg,1.4479012345679014,11728
14,15,sarah_ihab_fitness,Sarah,fitness,37600,662,210,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/13.jpg,4.306515957446809,32385
15,16,farah_elwardany,𝙁𝙖𝙧𝙖𝙝 / فرح,fitness,1942,852,52,Nano,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/14.jpg,8.331616889804327,3236
16,17,yomnasfood,Yomna,food,195000,627,148,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/15.jpg,1.6497455470737914,465362
17,18,samarasfood,Samara Alkhammach,food,39300,419,200,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/16.jpg,4.681806615776081,12967
18,19,malaksfoodjourney,Malak’s Food Journey,food,78600,779,392,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/17.jpg,8.372811534500514,73598
19,20,saraahmedxxo,Sara.,art,971,1384,267,Nano,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/18.jpg,1.2874369747899164,1626
20,21,salmaelkashef,Salma Elkashef,art,119000,2009,2149,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/19.jpg,1.1530656934306565,30641
21,22,laylaghaleb,Layla Ghaleb,art,274000,1892,1362,Mid-tier,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/20.jpg,13.027516778523491,63188
22,23,samaawithcup,Samaa’s cup,art,14900,209,252,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/21.jpg,7.9625,38822
23,24,sarahtaibah,سارة طيبة,art,46800,1092,647,Micro,https://raw.githubusercontent.com/ayahhhany/Instagram-Dashboard/main/assets/22.jpg,11.932358974358976,74529
